2023-10-03 16:49:42;Sin situacion;Inicio de prueba
2023-10-03 16:49:48;SALE;Situacion1
2023-10-03 16:49:49;ENTRA;Situacion2
2023-10-03 16:49:49;FORZAR;Situacion2
2023-10-03 16:49:49;SALE;Situacion2
2023-10-03 16:49:50;ENTRA;Situacion2
2023-10-03 16:49:52;FORZAR;Situacion2
2023-10-03 16:49:52;SALE;Situacion2
2023-10-03 16:49:53;ENTRA;Situacion2
2023-10-03 16:49:54;FORZAR;Situacion2
2023-10-03 16:49:54;SALE;Situacion2
2023-10-03 16:49:55;ENTRA;Situacion2
2023-10-03 16:49:56;FORZAR;Situacion2
2023-10-03 16:49:56;SALE;Situacion2
2023-10-03 16:49:57;ENTRA;Situacion2
2023-10-03 16:49:58;FORZAR;Situacion2
2023-10-03 16:49:58;SALE;Situacion2
2023-10-03 16:49:59;ENTRA;Situacion2
2023-10-03 16:50:01;FORZAR;Situacion3
2023-10-03 16:50:01;SALE;Situacion2
2023-10-03 16:50:02;ENTRA;Situacion3
2023-10-03 16:50:03;FORZAR;Situacion4
2023-10-03 16:50:03;SALE;Situacion3
2023-10-03 16:50:04;ENTRA;Situacion4
2023-10-03 16:50:06;FORZAR;Situacion4
2023-10-03 16:50:06;SALE;Situacion4
2023-10-03 16:50:07;ENTRA;Situacion4
2023-10-03 16:50:09;FORZAR;Situacion5
2023-10-03 16:50:09;SALE;Situacion4
2023-10-03 16:50:10;ENTRA;Situacion5
2023-10-03 16:50:12;SALE;Situacion5
2023-10-03 16:50:13;ENTRA;Situacion1
